year,Services,Finance_and_business_services,Manufacturing,Construction
Feb 19,515,676,608,637
Mar 19,516,679,605,632
Apr 19,519,687,615,653
May 19,521,689,613,648
Jun 19,522,694,615,648
Jul 19,524,693,616,652
Aug 19,524,695,619,649
Sep 19,526,699,617,657
Oct 19,527,697,620,650
Nov 19,528,699,622,649
Dec 19,528,696,620,650
Jan 20,530,699,620,655
Feb 20,528,692,621,653
Mar 20,523,678,615,633
Apr 20,520,687,592,582
May 20,519,688,595,578
Jun 20,518,676,593,590
